min,max,mean,year,adm3_pcode
0.9845790863037109,0.9845790863037109,0.9845790863037109,2020-01-16T00:00:00.000000000,ET031109
,,,2020-01-16T00:00:00.000000000,ET031110
,,,2020-01-16T00:00:00.000000000,ET031111
,,,2020-01-16T00:00:00.000000000,ET031112
0.9052642583847046,0.9052642583847046,0.9052642583847046,2020-01-16T00:00:00.000000000,ET031115
,,,2020-01-16T00:00:00.000000000,ET031116
,,,2020-01-16T00:00:00.000000000,ET031117
,,,2020-01-16T00:00:00.000000000,ET031118
1.2815085649490356,1.2815085649490356,1.2815085649490356,2020-01-16T00:00:00.000000000,ET031119
,,,2020-01-16T00:00:00.000000000,ET031120
2.1770923137664795,2.1770923137664795,2.1770923137664795,2020-01-16T00:00:00.000000000,ET031121
1.3030403852462769,1.3030403852462769,1.3030403852462769,2020-01-16T00:00:00.000000000,ET031122
1.4055356979370117,1.4055356979370117,1.4055356979370117,2020-01-16T00:00:00.000000000,ET031125
,,,2020-01-16T00:00:00.000000000,ET031199
1.8211525678634644,1.8211525678634644,1.8211525678634644,2020-01-16T00:00:00.000000000,ET031205
,,,2020-01-16T00:00:00.000000000,ET031206
1.131251573562622,1.3752864599227905,1.2532689571380615,2020-01-16T00:00:00.000000000,ET031213
0.8451009392738342,0.9200228452682495,0.8825619220733643,2020-01-16T00:00:00.000000000,ET031214
,,,2020-01-16T00:00:00.000000000,ET031223
,,,2020-01-16T00:00:00.000000000,ET031224
,,,2020-01-16T00:00:00.000000000,ET031292
,,,2020-01-16T00:00:00.000000000,ET040101
,,,2020-01-16T00:00:00.000000000,ET040102
1.1558525562286377,1.1558525562286377,1.1558525562286377,2020-01-16T00:00:00.000000000,ET040103
,,,2020-01-16T00:00:00.000000000,ET040104
0.4074791967868805,0.4074791967868805,0.4074791967868805,2020-01-16T00:00:00.000000000,ET040105
,,,2020-01-16T00:00:00.000000000,ET040106
,,,2020-01-16T00:00:00.000000000,ET040107
,,,2020-01-16T00:00:00.000000000,ET040108
1.8369231224060059,1.8369231224060059,1.8369231224060059,2020-01-16T00:00:00.000000000,ET040109
,,,2020-01-16T00:00:00.000000000,ET040110
,,,2020-01-16T00:00:00.000000000,ET040111
,,,2020-01-16T00:00:00.000000000,ET040112
,,,2020-01-16T00:00:00.000000000,ET040113
,,,2020-01-16T00:00:00.000000000,ET040114
1.54784095287323,1.54784095287323,1.54784095287323,2020-01-16T00:00:00.000000000,ET040115
,,,2020-01-16T00:00:00.000000000,ET040116
,,,2020-01-16T00:00:00.000000000,ET040117
,,,2020-01-16T00:00:00.000000000,ET040118
1.6517908573150635,1.6517908573150635,1.6517908573150635,2020-01-16T00:00:00.000000000,ET040119
,,,2020-01-16T00:00:00.000000000,ET040193
,,,2020-01-16T00:00:00.000000000,ET040197
,,,2020-01-16T00:00:00.000000000,ET040198
,,,2020-01-16T00:00:00.000000000,ET040199
,,,2020-01-16T00:00:00.000000000,ET040201
,,,2020-01-16T00:00:00.000000000,ET040202
0.30073490738868713,0.30073490738868713,0.30073490738868713,2020-01-16T00:00:00.000000000,ET040203
1.5632232427597046,1.5632232427597046,1.5632232427597046,2020-01-16T00:00:00.000000000,ET040204
,,,2020-01-16T00:00:00.000000000,ET040205
,,,2020-01-16T00:00:00.000000000,ET040206
,,,2020-01-16T00:00:00.000000000,ET040207
,,,2020-01-16T00:00:00.000000000,ET040208
1.5511847734451294,1.5511847734451294,1.5511847734451294,2020-01-16T00:00:00.000000000,ET040209
,,,2020-01-16T00:00:00.000000000,ET040210
1.5547432899475098,1.5547432899475098,1.5547432899475098,2020-01-16T00:00:00.000000000,ET040211
,,,2020-01-16T00:00:00.000000000,ET040212
,,,2020-01-16T00:00:00.000000000,ET040213
,,,2020-01-16T00:00:00.000000000,ET040214
1.611117959022522,1.611117959022522,1.611117959022522,2020-01-16T00:00:00.000000000,ET040215
,,,2020-01-16T00:00:00.000000000,ET040216
0.28550490736961365,0.28550490736961365,0.28550490736961365,2020-01-16T00:00:00.000000000,ET040217
,,,2020-01-16T00:00:00.000000000,ET040297
,,,2020-01-16T00:00:00.000000000,ET040301
,,,2020-01-16T00:00:00.000000000,ET040302
,,,2020-01-16T00:00:00.000000000,ET040309
,,,2020-01-16T00:00:00.000000000,ET040310
,,,2020-01-16T00:00:00.000000000,ET040311
1.5598480701446533,1.5598480701446533,1.5598480701446533,2020-01-16T00:00:00.000000000,ET040312
1.3661152124404907,1.3661152124404907,1.3661152124404907,2020-01-16T00:00:00.000000000,ET040313
,,,2020-01-16T00:00:00.000000000,ET040314
,,,2020-01-16T00:00:00.000000000,ET040315
